"Category"     , "Language"
"3D"           , "G-Code"
"3D"           , "GLSL"
"3D"           , "Klipper Config"
"3D"           , "Klipper G-Code"
"3D"           , "OpenSCAD"
"3D"           , "PLY"
"3D"           , "POV-Ray"
"3D"           , "RenderMan RIB"
"3D"           , "STL"
"3D"           , "VRML"
"3D"           , "Wavefront OBJ"
"Assembler"    , "ARM Assembler"
"Assembler"    , "AVR Assembler"
"Assembler"    , "Asm6502"
"Assembler"    , "Common Intermediate Language (CIL)"
"Assembler"    , "GNU Assembler"
"Assembler"    , "Intel x86 (FASM)"
"Assembler"    , "Intel x86 (NASM)"
"Assembler"    , "MIPS Assembler"
"Assembler"    , "Motorola 68k (VASM/Devpac)"
"Assembler"    , "Motorola DSP56k"
"Assembler"    , "PicAsm"
"Configuration", ".desktop"
"Configuration", "Adblock Plus"
"Configuration", "Apache Configuration"
"Configuration", "Cabal"
"Configuration", "Cisco"
"Configuration", "Doxyfile"
"Configuration", "Git Ignore"
"Configuration", "Gitolite"
"Configuration", "Hjson"
"Configuration", "INI Files"
"Configuration", "Jsonnet"
"Configuration", "Kate Config"
"Configuration", "Kconfig"
"Configuration", "NFTables"
"Configuration", "Nagios"
"Configuration", "QDoc Configuration"
"Configuration", "TOML"
"Configuration", "Varnish Configuration Language"
"Configuration", "Varnish Test Case language"
"Configuration", "WINE Config"
"Configuration", "XKeyboardConfig"
"Configuration", "fstab"
"Configuration", "kdesrc-buildrc"
"Configuration", "mergetag text"
"Configuration", "nginx Configuration"
"Configuration", "systemd unit"
"Configuration", "x.org Configuration"
"Database"     , "4GL"
"Database"     , "4GL-PER"
"Database"     , "LDIF"
"Database"     , "SPARQL"
"Database"     , "SQL"
"Database"     , "SQL (MySQL)"
"Database"     , "SQL (Oracle)"
"Database"     , "SQL (PostgreSQL)"
"Database"     , "progress"
"Hardware"     , "AHDL"
"Hardware"     , "Spice"
"Hardware"     , "SystemC"
"Hardware"     , "SystemVerilog"
"Hardware"     , "VHDL"
"Hardware"     , "Vera"
"Hardware"     , "Verilog"
"Markup"       , "ASN.1"
"Markup"       , "ASP"
"Markup"       , "AppArmor Security Profile"
"Markup"       , "AsciiDoc"
"Markup"       , "BibTeX"
"Markup"       , "CSS"
"Markup"       , "CartoCSS MML"
"Markup"       , "CartoCSS MSS"
"Markup"       , "CleanCSS"
"Markup"       , "ColdFusion"
"Markup"       , "ConTeXt"
"Markup"       , "Cucumber Gherkin feature"
"Markup"       , "D2"
"Markup"       , "DTD"
"Markup"       , "Django HTML Template"
"Markup"       , "Doxygen"
"Markup"       , "DoxygenLua"
"Markup"       , "FTL"
"Markup"       , "Fluent"
"Markup"       , "GNU Gettext"
"Markup"       , "GTK Blueprint"
"Markup"       , "Gemtext"
"Markup"       , "GlossTex"
"Markup"       , "HTML"
"Markup"       , "Haml"
"Markup"       , "Hamlet"
"Markup"       , "JSON"
"Markup"       , "JSON5"
"Markup"       , "JSONC"
"Markup"       , "JSP"
"Markup"       , "Javadoc"
"Markup"       , "Jira"
"Markup"       , "LESSCSS"
"Markup"       , "LaTeX"
"Markup"       , "LaTeX Log File"
"Markup"       , "MAB-DB"
"Markup"       , "Mako"
"Markup"       , "MapCSS"
"Markup"       , "Markdown"
"Markup"       , "MediaWiki"
"Markup"       , "Metapost/Metafont"
"Markup"       , "Mustache/Handlebars (HTML)"
"Markup"       , "Org Mode"
"Markup"       , "Pango"
"Markup"       , "PostScript"
"Markup"       , "PostScript Printer Description"
"Markup"       , "Pug"
"Markup"       , "Quarto"
"Markup"       , "R Markdown"
"Markup"       , "R documentation"
"Markup"       , "RELAX NG"
"Markup"       , "RelaxNG-Compact"
